,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
63,2020-06-30,32713.923477649885,31679.20244106954,34606.48376281503,32713.923477649885,32713.923477649885,362.9500505770191,362.9500505770191,362.9500505770191,362.9500505770191,362.9500505770191,362.9500505770191,0.0,0.0,0.0,33076.873528226904
64,2020-07-31,33104.895218908336,32906.4246978433,35767.00934362604,33104.895218908336,33104.895218908336,1210.6134272496447,1210.6134272496447,1210.6134272496447,1210.6134272496447,1210.6134272496447,1210.6134272496447,0.0,0.0,0.0,34315.50864615798
65,2020-08-31,33495.866960166786,31842.52240298901,34826.37617200536,33495.866960166786,33495.866960166786,-132.05612404477645,-132.05612404477645,-132.05612404477645,-132.05612404477645,-132.05612404477645,-132.05612404477645,0.0,0.0,0.0,33363.81083612201
66,2020-09-30,33875.26749427672,32051.693669722998,35013.55853599426,33875.26749427672,33875.26749427672,-372.405111661581,-372.405111661581,-372.405111661581,-372.405111661581,-372.405111661581,-372.405111661581,0.0,0.0,0.0,33502.86238261514
67,2020-10-31,34267.31471285698,32381.74701615293,35317.69200495157,34267.31471285698,34267.31471285698,-334.94577381289736,-334.94577381289736,-334.94577381289736,-334.94577381289736,-334.94577381289736,-334.94577381289736,0.0,0.0,0.0,33932.368939044085
68,2020-11-30,34646.71524696691,32611.35248054905,35663.99559588578,34646.71524696691,34646.71524696691,-542.8308288237243,-542.8308288237243,-542.8308288237243,-542.8308288237243,-542.8308288237243,-542.8308288237243,0.0,0.0,0.0,34103.884418143185
69,2020-12-31,35039.61314068725,33406.95306983876,36256.65265408589,35039.61314068725,35039.61314068725,-118.10938509008677,-118.10938509008677,-118.10938509008677,-118.10938509008677,-118.10938509008677,-118.10938509008677,0.0,0.0,0.0,34921.503755597165
70,2021-01-31,35432.511034407595,34578.67794558981,37519.504073405325,35432.511034407595,35432.511034407595,635.9332529918603,635.9332529918603,635.9332529918603,635.9332529918603,635.9332529918603,635.9332529918603,0.0,0.0,0.0,36068.444287399456
71,2021-02-28,35787.38655131629,33787.3423466158,36695.16668463716,35787.38655131629,35787.38655131629,-546.575163144778,-546.575163144778,-546.575163144778,-546.575163144778,-546.575163144778,-546.575163144778,0.0,0.0,0.0,35240.81138817151
72,2021-03-31,37659.56120955993,36247.15054643096,39320.88789426218,37659.56120955993,37659.56120955993,101.98728289003468,101.98728289003468,101.98728289003468,101.98728289003468,101.98728289003468,101.98728289003468,0.0,0.0,0.0,37761.54849244996
